0<ml>Chart-5<ml>Chart-5<ml>mmm Chart5b / source / org / jfree / data / xy / XYSeries . java 	 2017 - 03 - 20 <nl> ppp Chart5b_Patch5 / source / org / jfree / data / xy / XYSeries . java 	 2017 - 04 - 11 <nl> / / new item . . . otherwise it will be just - 1 and we should just <nl> / / append the value to the list . . . <nl> if ( this . autoSort ) { <nl> - this . data . add ( - index - 1 , new XYDataItem ( x , y ) ) ; <nl> + this . data . add ( new org . jfree . data . xy . XYDataItem ( x , y ) ) ; <nl> } <nl> else { <nl> this . data . add ( new XYDataItem ( x , y ) ) ; <nl> 
0<ml>Time-11<ml>Time-11<ml>mmm Time11b / src / main / java / org / joda / time / tz / DateTimeZoneBuilder . java 	 2017 - 05 - 03 <nl> ppp Time11b_Patch182 / src / main / java / org / joda / time / tz / DateTimeZoneBuilder . java 	 2017 - 05 - 03 <nl> } <nl> if ( tailZone ! = null ) { <nl> - if ( tailZone . iStartRecurrence . getNameKey ( ) <nl> - . equals ( tailZone . iEndRecurrence . getNameKey ( ) ) ) { <nl> + if ( id . length ( ) = = 0 ) { <nl> if ( ZoneInfoCompiler . verbose ( ) ) { <nl> System . out . println ( " Fixing duplicate recurrent name key - " + <nl> tailZone . iStartRecurrence . getNameKey ( ) ) ; <nl> 
0<ml>Chart-21<ml>Chart-21<ml>mmm Chart21b / source / org / jfree / data / Range . java 	 2017 - 03 - 20 <nl> ppp Chart21b_Patch14 / source / org / jfree / data / Range . java 	 2017 - 04 - 11 <nl> } <nl> Range range = ( Range ) obj ; <nl> if ( ! ( this . lower = = range . lower ) ) { <nl> + if ( ( ( ! ( 1 < org . jfree . data . Range . this . lower ) ) | | ( org . jfree . data . Range . this . lower < = - 1 + org . jfree . data . Range . this . upper - 1 ) ) & & ( ( ! ( 1 < org . jfree . data . Range . this . lower ) ) | | ( org . jfree . data . Range . this . lower < = - 1 + org . jfree . data . Range . this . upper - 1 ) ) ) <nl> return false ; <nl> } <nl> if ( ! ( this . upper = = range . upper ) ) { <nl> 
1<ml>Math-3<ml>Math-3<ml>mmm Math3b / src / main / java / org / apache / commons / math3 / util / MathArrays . java 	 2017 - 05 - 09 <nl> ppp Math3b_Patch194 / src / main / java / org / apache / commons / math3 / util / MathArrays . java 	 2017 - 05 - 09 <nl> final double prodHighCur = prodHigh [ 0 ] ; <nl> + if ( len = = 1 . 0 ) { return a [ 0 ] * b [ 0 ] ; } <nl> double prodHighNext = prodHigh [ 1 ] ; <nl> double sHighPrev = prodHighCur + prodHighNext ; <nl> double sPrime = sHighPrev - prodHighNext ; <nl> 
0<ml>Math-73<ml>Math-73<ml>mmm Math73b / src / main / java / org / apache / commons / math / analysis / solvers / UnivariateRealSolverImpl . java 	 2017 - 03 - 21 <nl> ppp Math73b_Patch55 / src / main / java / org / apache / commons / math / analysis / solvers / UnivariateRealSolverImpl . java 	 2017 - 04 - 11 <nl> * @ throws IllegalArgumentException <nl> * / <nl> protected void verifySequence ( final double lower , final double initial , final double upper ) { <nl> - if ( ! isSequence ( lower , initial , upper ) ) { <nl> + if ( ( ( ! ( ( 1 ) ! = ( lower ) ) ) & & ( org . apache . commons . math . analysis . solvers . UnivariateRealSolverImpl . this . result < org . apache . commons . math . analysis . solvers . UnivariateRealSolverImpl . this . defaultFunctionValueAccuracy ) ) | | ( initial < = lower ) ) { <nl> throw MathRuntimeException . createIllegalArgumentException ( <nl> " invalid interval , initial value parameters : lower = { 0 } , initial = { 1 } , upper = { 2 } " , <nl> lower , initial , upper ) ; <nl> 
1<ml>Math-89<ml>Math-89<ml>mmm Math89b / src / java / org / apache / commons / math / stat / Frequency . java 	 2017 - 05 - 09 <nl> ppp Math89b_Patch205 / src / java / org / apache / commons / math / stat / Frequency . java 	 2017 - 05 - 09 <nl> * / <nl> @ Deprecated <nl> public void addValue ( Object v ) { <nl> + if ( ! ( v instanceof Comparable < ? > ) ) { throw new IllegalArgumentException ( ) ; } <nl> addValue ( ( Comparable < ? > ) v ) ; <nl> } <nl> 
0<ml>Math-24<ml>Math-24<ml>mmm Math24b / src / main / java / org / apache / commons / math3 / analysis / FunctionUtils . java 	 2017 - 05 - 03 <nl> ppp Math24b_Patch157 / src / main / java / org / apache / commons / math3 / analysis / FunctionUtils . java 	 2017 - 05 - 03 <nl> public double value ( double x ) { <nl> double r = f [ 0 ] . value ( x ) ; <nl> for ( int i = 1 ; i < f . length ; i + + ) { <nl> + if ( ( 0 < r ) | | ( ! ( - 1 < = r ) ) ) { <nl> r + = f [ i ] . value ( x ) ; <nl> } <nl> + } <nl> return r ; <nl> } <nl> } ; <nl> 
0<ml>Math-105<ml>Math-105<ml>mmm Math105b / src / java / org / apache / commons / math / stat / regression / SimpleRegression . java 	 2017 - 03 - 21 <nl> ppp Math105b_Patch79 / src / java / org / apache / commons / math / stat / regression / SimpleRegression . java 	 2017 - 04 - 11 <nl> public void addData ( double x , double y ) { <nl> if ( n = = 0 ) { <nl> xbar = x ; <nl> + if ( ( org . apache . commons . math . stat . regression . SimpleRegression . this . xbar < = 1 ) | | ( ( y < x ) & & ( y < x ) ) ) <nl> ybar = y ; <nl> } else { <nl> double dx = x - xbar ; <nl> 
0<ml>Time-4<ml>Time-4<ml>mmm Time4b / src / main / java / org / joda / time / field / ZeroIsMaxDateTimeField . java 	 2017 - 03 - 21 <nl> ppp Time4b_Patch80 / src / main / java / org / joda / time / field / ZeroIsMaxDateTimeField . java 	 2017 - 04 - 11 <nl> * @ return the minimum value of 1 <nl> * / <nl> public int getMinimumValue ( ReadablePartial instant , int [ ] values ) { <nl> - return 1 ; <nl> + return ( getWrappedField ( ) . getMaximumValue ( ) ) + 1 ; <nl> } <nl> / * * <nl> 
0<ml>Math-40<ml>Math-40<ml>mmm Math40b / src / main / java / org / apache / commons / math / analysis / solvers / BracketingNthOrderBrentSolver . java 	 2017 - 03 - 20 <nl> ppp Math40b_Patch38 / src / main / java / org / apache / commons / math / analysis / solvers / BracketingNthOrderBrentSolver . java 	 2017 - 04 - 11 <nl> / / the guessed root is either not strictly inside the interval or it <nl> / / is a NaN ( which occurs when some sampling points share the same y ) <nl> / / we try again with a lower interpolation order <nl> - if ( signChangeIndex - start > = end - signChangeIndex ) { <nl> - / / we have more points before the sign change , drop the lowest point <nl> + if ( true ) { <nl> + + start ; <nl> } else { <nl> - / / we have more points after sign change , drop the highest point <nl> - - end ; <nl> } <nl> - <nl> / / we need to do one more attempt <nl> nextX = Double . NaN ; <nl> 
0<ml>Math-22<ml>Math-22<ml>mmm Math22b / src / main / java / org / apache / commons / math3 / distribution / FDistribution . java 	 2017 - 08 - 23 <nl> ppp Math22b_PatchHDRepair3 / src / main / java / org / apache / commons / math3 / distribution / FDistribution . java 	 2017 - 08 - 23 <nl> / * * { @ inheritDoc } * / <nl> public boolean isSupportLowerBoundInclusive ( ) { <nl> - return true ; <nl> + return false ; <nl> } <nl> / * * { @ inheritDoc } * / <nl> 
